city|city_ascii|state_id|state_name|county_fips|county_name|lat|lon|population|density|source|military|incorporated|timezone|ranking|id
Hillsville|Hillsville|VA|Virginia|51035|Carroll|36.7613|-80.7371|2679|106|shape|FALSE|TRUE|America/New_York|3|1840006526
Perezville|Perezville|TX|Texas|48215|Hidalgo|26.2456|-98.4024|2679|1375|shape|FALSE|FALSE|America/Chicago|3|1840025180
Vamo|Vamo|FL|Florida|12115|Sarasota|27.2219|-82.4988|2679|1327|shape|FALSE|FALSE|America/New_York|3|1840014181
Covington|Covington|OH|Ohio|39109|Miami|40.1174|-84.3509|2678|754|shape|FALSE|TRUE|America/New_York|3|1840012374
Bohners Lake|Bohners Lake|WI|Wisconsin|55101|Racine|42.6241|-88.2879|2678|310|shape|FALSE|FALSE|America/Chicago|3|1840004481
Winnie|Winnie|TX|Texas|48071|Chambers|29.8167|-94.3807|2677|261|shape|FALSE|FALSE|America/Chicago|3|1840019632
Fayette|Fayette|MO|Missouri|29089|Howard|39.1470|-92.6857|2677|466|shape|FALSE|TRUE|America/Chicago|3|1840008517
Edwards AFB|Edwards AFB|CA|California|06029|Kern|34.9045|-117.9294|2676|60|shape|TRUE|TRUE|America/Los_Angeles|4|1840073911
Loris|Loris|SC|South Carolina|45051|Horry|34.0578|-78.8876|2676|226|shape|FALSE|TRUE|America/New_York|3|1840015591
Reidsville|Reidsville|GA|Georgia|13267|Tattnall|32.0871|-82.1244|2676|136|shape|FALSE|TRUE|America/New_York|3|1840014908
Lucerne|Lucerne|CA|California|06033|Lake|39.0698|-122.7746|2674|192|shape|FALSE|FALSE|America/Los_Angeles|3|1840017548
Piedra Aguza|Piedra Aguza|PR|Puerto Rico|72075|Juana Díaz|18.0338|-66.4955|2672|1632|shape|FALSE|TRUE|America/Puerto_Rico|3|1630027034
East Sonora|East Sonora|CA|California|06109|Tuolumne|37.9774|-120.3409|2672|421|shape|FALSE|FALSE|America/Los_Angeles|3|1840017599
Fairmount|Fairmount|IN|Indiana|18053|Grant|40.4173|-85.6477|2671|650|shape|FALSE|TRUE|America/Indiana/Indianapolis|3|1840010394
Lake Wazeecha|Lake Wazeecha|WI|Wisconsin|55141|Wood|44.3696|-89.7549|2671|248|shape|FALSE|FALSE|America/Chicago|3|1840004085
Lisbon|Lisbon|OH|Ohio|39029|Columbiana|40.7752|-80.7628|2671|612|shape|FALSE|TRUE|America/New_York|3|1840011932
Morton|Morton|PA|Pennsylvania|42045|Delaware|39.9115|-75.3267|2671|2142.2|shape|FALSE|TRUE|America/New_York|2|1840000704
Grundy Center|Grundy Center|IA|Iowa|19075|Grundy|42.3637|-92.7740|2671|401|shape|FALSE|TRUE|America/Chicago|3|1840006965
Kulpmont|Kulpmont|PA|Pennsylvania|42097|Northumberland|40.7954|-76.4721|2670|1075|shape|FALSE|TRUE|America/New_York|3|1840000842
Blanco|Blanco|TX|Texas|48031|Blanco|30.0987|-98.4169|2670|295|shape|FALSE|TRUE|America/Chicago|3|1840019594
Verona|Verona|PA|Pennsylvania|42003|Allegheny|40.5050|-79.8419|2669|2033|shape|FALSE|TRUE|America/New_York|2|1840001268
Irvine|Irvine|KY|Kentucky|21065|Estill|37.6964|-83.9678|2669|706|shape|FALSE|TRUE|America/New_York|3|1840014344
Stroud|Stroud|OK|Oklahoma|40081|Lincoln|35.7686|-96.6467|2669|89|shape|FALSE|TRUE|America/Chicago|3|1840021709
Rogers City|Rogers City|MI|Michigan|26141|Presque Isle|45.4150|-83.8186|2669|227|shape|FALSE|TRUE|America/Detroit|3|1840002065
Cadiz|Cadiz|KY|Kentucky|21221|Trigg|36.8695|-87.8048|2668|343|shape|FALSE|TRUE|America/Chicago|3|1840013282
Federalsburg|Federalsburg|MD|Maryland|24011|Caroline|38.6929|-75.7727|2668|533|shape|FALSE|TRUE|America/New_York|3|1840005933
Inez|Inez|TX|Texas|48469|Victoria|28.8718|-96.7959|2668|17|shape|FALSE|FALSE|America/Chicago|3|1840018279
Cambridge Springs|Cambridge Springs|PA|Pennsylvania|42039|Crawford|41.8020|-80.0598|2667|1159|shape|FALSE|TRUE|America/New_York|3|1840000551
Timberville|Timberville|VA|Virginia|51165|Rockingham|38.6335|-78.7731|2666|770|shape|FALSE|TRUE|America/New_York|3|1840006139
Dawson Springs|Dawson Springs|KY|Kentucky|21107|Hopkins|37.1740|-87.6880|2665|268|shape|FALSE|TRUE|America/Chicago|3|1840014367
Folly Beach|Folly Beach|SC|South Carolina|45019|Charleston|32.6692|-79.9500|2664|82|shape|FALSE|TRUE|America/New_York|3|1840014255
Mountain View|Mountain View|MO|Missouri|29091|Howell|36.9936|-91.7019|2663|274|shape|FALSE|TRUE|America/Chicago|3|1840008791
Dyer|Dyer|TN|Tennessee|47053|Gibson|36.0710|-88.9921|2663|448|shape|FALSE|TRUE|America/Chicago|3|1840013371
Juneau|Juneau|WI|Wisconsin|55027|Dodge|43.4053|-88.7041|2663|623|shape|FALSE|TRUE|America/Chicago|3|1840002734
Weed|Weed|CA|California|06093|Siskiyou|41.4127|-122.3816|2662|213|shape|FALSE|TRUE|America/Los_Angeles|3|1840021319
Newtown|Newtown|OH|Ohio|39061|Hamilton|39.1243|-84.3517|2662|503|shape|FALSE|TRUE|America/New_York|3|1840001608
Wellford|Wellford|SC|South Carolina|45083|Spartanburg|34.9620|-82.0937|2662|244|shape|FALSE|TRUE|America/New_York|3|1840015483
Cle Elum|Cle Elum|WA|Washington|53037|Kittitas|47.1943|-120.9539|2662|228|shape|FALSE|TRUE|America/Los_Angeles|3|1840018440
Cordes Lakes|Cordes Lakes|AZ|Arizona|04025|Yavapai|34.3103|-112.1073|2662|94|shape|FALSE|FALSE|America/Phoenix|3|1840017841
Strasburg|Strasburg|OH|Ohio|39157|Tuscarawas|40.6004|-81.5293|2661|726|shape|FALSE|TRUE|America/New_York|3|1840012097
East Lansdowne|East Lansdowne|PA|Pennsylvania|42045|Delaware|39.9440|-75.2608|2661|7278.0|shape|FALSE|TRUE|America/New_York|2|1840000696
Brinkley|Brinkley|AR|Arkansas|05095|Monroe|34.8900|-91.1902|2661|180|shape|FALSE|TRUE|America/Chicago|3|1840013541
Laurel Lake|Laurel Lake|NJ|New Jersey|34011|Cumberland|39.3265|-75.0305|2661|591|shape|FALSE|FALSE|America/New_York|3|1840005752
Cabana Colony|Cabana Colony|FL|Florida|12099|Palm Beach|26.8555|-80.0864|2660|2395|shape|FALSE|TRUE|America/New_York|2|1840042855
Clifton|Clifton|TN|Tennessee|47181|Wayne|35.3792|-87.9927|2660|184|shape|FALSE|TRUE|America/Chicago|3|1840014562
Reynoldsville|Reynoldsville|PA|Pennsylvania|42065|Jefferson|41.0944|-78.8876|2659|739|shape|FALSE|TRUE|America/New_York|3|1840003472
Montgomery City|Montgomery City|MO|Missouri|29139|Montgomery|38.9737|-91.5024|2659|304|shape|FALSE|TRUE|America/Chicago|3|1840008553
Blasdell|Blasdell|NY|New York|36029|Erie|42.7964|-78.8324|2659|913|shape|FALSE|TRUE|America/New_York|3|1840004396
Jemison|Jemison|AL|Alabama|01021|Chilton|32.9696|-86.7339|2658|90|shape|FALSE|TRUE|America/Chicago|3|1840014862
Foley|Foley|MN|Minnesota|27009|Benton|45.6636|-93.9096|2658|401|shape|FALSE|TRUE|America/Chicago|3|1840007776
La Grange|La Grange|NC|North Carolina|37107|Lenoir|35.3064|-77.7890|2658|445|shape|FALSE|TRUE|America/New_York|3|1840016389
Liberty|Liberty|NC|North Carolina|37151|Randolph|35.8555|-79.5682|2657|327|shape|FALSE|TRUE|America/New_York|3|1840016252
New Boston|New Boston|OH|Ohio|39145|Scioto|38.7516|-82.9351|2657|914|shape|FALSE|TRUE|America/New_York|3|1840001645
Rancho Santa Fe|Rancho Santa Fe|CA|California|06073|San Diego|33.0240|-117.1992|2657|152|shape|FALSE|FALSE|America/Los_Angeles|3|1840019348
Lexington Hills|Lexington Hills|CA|California|06085|Santa Clara|37.1617|-121.9879|2656|217|shape|FALSE|FALSE|America/Los_Angeles|3|1840028383
La Mesilla|La Mesilla|NM|New Mexico|35039|Rio Arriba|35.9461|-106.0719|2656|230|shape|FALSE|FALSE|America/Denver|3|1840024835
Fairlawn|Fairlawn|VA|Virginia|51155|Pulaski|37.1476|-80.5567|2656|326|shape|FALSE|FALSE|America/New_York|3|1840001721
Gastonville|Gastonville|PA|Pennsylvania|42125|Washington|40.2669|-80.0095|2656|378|shape|FALSE|FALSE|America/New_York|3|1840005435
Shadybrook|Shadybrook|TX|Texas|48073|Cherokee|32.1108|-95.4212|2655|132|shape|FALSE|TRUE|America/Chicago|4|1840042635
Hartley|Hartley|CA|California|06095|Solano|38.4203|-121.9520|2655|158|shape|FALSE|FALSE|America/Los_Angeles|3|1840024675
Wabasha|Wabasha|MN|Minnesota|27157|Wabasha|44.3706|-92.0420|2655|125|shape|FALSE|TRUE|America/Chicago|3|1840010023
Casey|Casey|IL|Illinois|17023|Clark|39.3031|-87.9897|2655|453|shape|FALSE|TRUE|America/Chicago|3|1840007370
Chester Heights|Chester Heights|PA|Pennsylvania|42045|Delaware|39.8927|-75.4698|2654|462|shape|FALSE|TRUE|America/New_York|3|1840000691
Guilford Center|Guilford Center|CT|Connecticut|09009|New Haven|41.2818|-72.6763|2653|469|shape|FALSE|TRUE|America/New_York|3|1840073296
