time|latitude|longitude|depth|mag|magType|nst|gap|dmin|rms|net|id|updated|type|horizontalError|depthError|magError|magNst|status|locationSource|magSource
2022-06-22T08:12:57.472Z|31.61055976|-103.9954363|8.75378418|2.8|ml|26|49|0.07026810245|0.1|tx|tx2022mcwu|2022-06-22T21:41:29.540Z|earthquake|0.7108621569|0.7830004732|0.1|9|reviewed|tx|tx
2022-06-22T08:11:28.140Z|37.6315|-118.879|-0.19|1.3|md|14|124|0.01784|0.02|nc|nc73749426|2022-06-26T00:59:23.775Z|earthquake|0.33|0.26|0.245|12|reviewed|nc|nc
2022-06-22T08:05:12.110Z|34.0476667|-117.2615|11.84|0.54|ml|22|83|0.06025|0.13|ci|ci40288896|2022-06-22T17:38:47.799Z|earthquake|0.23|0.58|0.075|5|reviewed|ci|ci
2022-06-22T07:59:43.160Z|38.8429985|-122.8799973|2.35|0.96|md|12|99|0.005479|0.03|nc|nc73749421|2022-06-22T08:16:14.518Z|earthquake|0.37|0.63|0.25|3|automatic|nc|nc
2022-06-22T07:54:04.130Z|33.4893333|-116.7506667|5.94|0.16|ml|16|115|0.06995|0.08|ci|ci40288888|2022-06-22T17:25:08.705Z|earthquake|0.2|0.47|0.046|3|reviewed|ci|ci
2022-06-22T07:52:53.254Z|-29.0769|-73.9953|10|4.6|mb||105|2.545|1.09|us|us7000hj93|2022-06-22T09:19:43.040Z|earthquake|6.2|1.9|0.076|51|reviewed|us|us
2022-06-22T07:46:53.450Z|38.7938333|-122.7568333|1.46|0.29|md|21|85|0.007145|0.05|nc|nc73749416|2022-06-24T21:17:25.659Z|earthquake|0.19|0.31|0.192|4|reviewed|nc|nc
2022-06-22T07:37:39.825Z|64.4335|-147.4109|14.7|0.8|ml||||0.66|ak|ak0227y8d38e|2022-06-22T07:39:19.593Z|earthquake||0.2|||automatic|ak|ak
2022-06-22T07:28:21.030Z|44.306|-114.1911667|4.09|1.49|ml|11|58|0.564|0.25|mb|mb80549549|2022-06-22T14:25:51.280Z|earthquake|1.15|4.15|0.233|12|reviewed|mb|mb
2022-06-22T07:27:31.860Z|61.0989|-150.5721|51.3|1.5|ml||||0.12|ak|ak0227y8axgi|2022-06-22T07:28:47.676Z|earthquake||1|||automatic|ak|ak
2022-06-22T07:22:54.240Z|37.6253333|-118.8658333|5.42|0.38|md|12|130|0.006731|0.06|nc|nc73749411|2022-06-25T23:16:14.212Z|earthquake|0.5|0.48|0.089|10|reviewed|nc|nc
2022-06-22T07:15:13.936Z|40.6181|-119.5501|10.3|1.3|ml|6|312.36|0.469|0.1346|nn|nn00841491|2022-06-23T02:39:47.296Z|earthquake||4.5|0.46|6|reviewed|nn|nn
2022-06-22T07:07:12.590Z|19.1499996185303|-155.463668823242|32.3300018310547|2.1500001|md|38|170||0.129999995|hv|hv73051547|2022-06-22T07:10:24.820Z|earthquake|0.57|0.910000026|0.49000001|17|automatic|hv|hv
2022-06-22T07:05:41.049Z|35.10983333|-95.5515|7.15|0.79|ml|17|111|0.1142775748|0.17|ok|ok2022mcuo|2022-06-23T12:58:52.583Z|earthquake||1.3|0.19|7|reviewed|ok|ok
2022-06-22T07:04:41.450Z|47.92316666666667|-121.78966666666666|4.09|0.8200000000000001|ml|9|145|0.1774|0.15|uw|uw61845212|2022-06-23T19:49:34.370Z|earthquake|0.47|14.21|0.1149700979549142|4|reviewed|uw|uw
2022-06-22T07:04:35.708Z|37.4862|-115.362|0|2|ml|35|118.43|0.259|0.1694|nn|nn00841443|2022-06-22T16:23:24.890Z|earthquake||0|0.44|23|reviewed|nn|nn
2022-06-22T07:00:34.657Z|-7.1414|129.3465|130.76|4.5|mb||79|2.108|0.91|us|us7000hj8x|2022-06-22T07:21:38.040Z|earthquake|5.4|9|0.145|17|reviewed|us|us
2022-06-22T06:57:45.986Z|38.5421|-119.5496|5.8|0.8|ml|14|125.4|0.05|0.145|nn|nn00841490|2022-06-22T23:58:54.486Z|earthquake||1.4|0.26|4|reviewed|nn|nn
2022-06-22T06:57:14.700Z|37.6466667|-118.8883333|-0.24|0.13|md|13|137|0.00712|0.11|nc|nc73749406|2022-06-26T00:33:15.647Z|earthquake|0.41|0.29|0.433|10|reviewed|nc|nc
2022-06-22T06:53:18.070Z|33.9688333|-116.9106667|16.25|0.74|ml|30|91|0.08372|0.15|ci|ci40288880|2022-06-22T17:16:15.010Z|earthquake|0.18|0.54|0.125|14|reviewed|ci|ci
2022-06-22T06:52:01.112Z|38.5525|-119.4829|8.6|1.2|ml|19|106.2|0.044|0.1291|nn|nn00841442|2022-06-22T17:16:11.309Z|earthquake||0.9|0.12|8|reviewed|nn|nn
2022-06-22T06:49:14.500Z|2.6387|128.7269|53.45|4.8|mb||111|2.299|0.85|us|us7000hj8t|2022-06-22T07:07:43.040Z|earthquake|7.9|8.5|0.073|59|reviewed|us|us
